Gross domestic product (GDP) at current market prices by metropolitan regions [met_10r_3gdp],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Last update,18.06.19,,,,,,,,,,,,,,,,,
Extracted on,11.01.20,,,,,,,,,,,,,,,,,
Source of data,Eurostat,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
UNIT,Million euro,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
METROREG/TIME,2000 - 2000,2001 - 2001,2002 - 2002,2003 - 2003,2004 - 2004,2005 - 2005,2006 - 2006,2007 - 2007,2008 - 2008,2009 - 2009,2010 - 2010,2011 - 2011,2012 - 2012,2013 - 2013,2014 - 2014,2015 - 2015,2016 - 2016,2017 - 2017
Ingolstadt,"12,304.76","13,398","13,814.93","14,340.78","14,648.35","15,123.95","16,753.73","17,194.85","16,626.12","16,624.52","20,287.58","22,423.49","24,012.24","26,688.18","27,002","29,219","29,595",:
Reutlingen,"7,557.63","7,777.01","7,957.58","7,883.48","8,248.51","7,928.35","8,384.58","8,777.94","9,090.49","8,177.10","8,899.46","9,310.64","9,406.78","9,954.56","10,565","10,840","11,236",:
Siegen,"10,105.56","10,215.17","10,006.36","10,262.74","10,453.24","10,765.92","11,476.45","12,093.15","12,575.97","11,628.36","12,039.38","12,838.35","12,892.81","12,979.57","13,387","13,909","14,471",:
Hildesheim,"5,615.84","5,634.24","5,896.21","6,059.40","6,055.97","6,048.25","6,092.08","6,194.35","6,406.80","6,119.45","6,379.12","6,725.97","6,926.27","6,851.79","7,160","7,333","7,550",:
Zwickau,"6,450.73","6,753.58","6,727.29","6,791.74","6,963.59","6,821.64","6,991.20","7,477.08","7,460.18","7,248.18","7,631.19","8,071.27","8,177.11","8,250.09","8,913","9,401","9,788",:
Wuppertal,"10,192.15","9,773.74","9,799.46","9,636.41","9,992.96","10,126.92","10,222.84","10,596.05","10,742.18","10,520.73","10,640.36","11,033.55","11,072.59","11,276.40","11,990","12,397","13,132",:
Düren,"5,478.86","5,370.29","5,406.05","5,446.39","5,642.52","5,657.61","5,900.50","6,068.17","6,423.97","6,172.64","6,279.77","6,508.66","6,683.89","6,781.62","6,910","7,108","7,369",:
Bocholt,"8,009.83","8,135.59","8,081.72","8,128.82","8,421.44","8,649.03","9,039.70","9,577.79","10,052.44","9,751.47","10,345.37","10,958.01","11,227.46","11,533.98","12,093","12,634","13,159",:
Non-metropolitan regions in Germany,"560,100.68","573,489.91","581,495.95","583,702.76","598,780.60","606,631.17","632,169.34","663,846.53","679,832.43","650,107.03","688,583.57","723,782.83","739,543.33","757,317.31","788,720","815,299","843,704",:
Ireland,"108,380.40","121,958.65","135,959.20","145,555.82","156,143.80","170,186.99","184,993.73","197,202.05","187,769.05","170,100.55","167,721.19","171,140.16","175,216.19","179,922.41","195,292.85","262,466.15","273,238.20","294,110.14"
Dublin,"56,110.75","61,287.55","66,901.32","71,495.20","79,095.38","88,618.08","94,991.88","101,614.63","98,326.83","89,389.88","88,486.05","86,566.58","89,259.51","96,636.14","107,939.38","120,731.45","133,198.42",:
Cork,"17,685.99","21,311.69","27,569.69","26,846.02","26,243.77","28,429.97","30,915.69","33,528.66","30,643.38","29,686.04","28,821.60","32,053.42","32,755.07","30,890.27","34,726.38",:,:,:
Non-metropolitan regions in Ireland,"34,583.67","39,359.38","41,488.17","47,214.57","50,804.65","53,138.96","59,086.12","62,058.80","58,798.82","51,024.61","50,413.60","52,520.17","53,201.73","52,395.96","52,627.04",:,:,:
